beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
thinktasc limited,UK,United Kingdom,project,Northern Ireland,,,,,
smiley monroe ltd,UK,United Kingdom,project,Northern Ireland,,,,,
francesco group (holdings) limited,UK,United Kingdom,project,England,West Midlands,,,,
ingeus uk limited,UK,United Kingdom,project,England,North East,,,,
cornish crabbers llp,UK,United Kingdom,project,England,Cornwall and the Isles of Scilly,,,,
allied healthcare group limited,UK,United Kingdom,project,England,East of England,,,,
skillnet limited,UK,United Kingdom,project,England,South East,,,,
devon primary care trust,UK,United Kingdom,project,England,South West,,,,
conduix ltd,UK,United Kingdom,project,Northern Ireland,,,,,
north west universities association,UK,United Kingdom,project,England,North West,,,,
maximus (cpa 01) (north london),UK,United Kingdom,project,England,London,,,,
new college nottingham (ncn),UK,United Kingdom,project,England,East of England,,,,
"manchester college, the",UK,United Kingdom,project,England,Merseyside,,,,
specialist joinery fittings ltd,UK,United Kingdom,project,Northern Ireland,,,,,
north liverpool regeneration company ltd,UK,United Kingdom,project,England,Merseyside,,,,
business support kent,UK,United Kingdom,project,England,South East,,,,
sandwell and west birmingham hospitals,UK,United Kingdom,project,England,West Midlands,,,,
happy child limited,UK,United Kingdom,project,England,London,,,,
john mcelderry (motors & tractors) ltd,UK,United Kingdom,project,Northern Ireland,,,,,
seaham safety services ltd,UK,United Kingdom,project,England,Yorkshire,,,,
p.t.p. training limited,UK,United Kingdom,project,England,East Midlands,,,,
pera innovation limited,UK,United Kingdom,project,England,South Yorkshire,,,,
g smyth boats ltd,UK,United Kingdom,project,Northern Ireland,,,,,
visual access ni ltd,UK,United Kingdom,project,Northern Ireland,,,,,
polestar uk print limited,UK,United Kingdom,project,England,South Yorkshire,,,,
david campbell & wendy campbell t/a county down stoves and flues,UK,United Kingdom,project,Northern Ireland,,,,,
north lindsey college,UK,United Kingdom,project,England,South East,,,,
training plus (merseyside) limited,UK,United Kingdom,project,England,Merseyside,,,,
gap infomedia limited,UK,United Kingdom,project,England,Merseyside,,,,
the college of west anglia,UK,United Kingdom,project,England,South Yorkshire,,,,
yorkshire training services limited,UK,United Kingdom,project,England,East Midlands,,,,
the saville row holding company ltd,UK,United Kingdom,project,Northern Ireland,,,,,
barford education and training (north east),UK,United Kingdom,project,England,Cornwall and the Isles of Scilly,,,,
cynon valley crime prevention,UK,United Kingdom,project,Wales,Wales,,,,
"jw, d & s watson t/a walter watson fabrication",UK,United Kingdom,project,Northern Ireland,,,,,
elpis training limited,UK,United Kingdom,project,England,South Yorkshire,,,,
cheadle and marple sixth form college,UK,United Kingdom,project,England,East Midlands,,,,
loughborough college,UK,United Kingdom,project,England,East of England,,,,
"the vine project, surrey",UK,United Kingdom,project,England,London,,,,
waste system ltd,UK,United Kingdom,project,Northern Ireland,,,,,
chesterfield college,UK,United Kingdom,project,England,South Yorkshire,,,,
headcast limited,UK,United Kingdom,project,England,Cornwall and the Isles of Scilly,,,,
bhs limited,UK,United Kingdom,project,England,East Midlands,,,,
healthy buildings (ireland) ltd,UK,United Kingdom,project,Northern Ireland,,,,,
john edson,UK,United Kingdom,project,England,North West,,,,
saks (education) limited,UK,United Kingdom,project,England,London,,,,
realise futures cic,UK,United Kingdom,project,England,East of England,,,,
lifeskills solutions limited,UK,United Kingdom,project,England,South East,,,,
grp systems ltd,UK,United Kingdom,project,Northern Ireland,,,,,
hidinimage ltd,UK,United Kingdom,project,Northern Ireland,,,,,
cross refrigeration (n.i.) limited,UK,United Kingdom,project,Northern Ireland,,,,,
csv ipswich media clubhouse,UK,United Kingdom,project,England,East of England,,,,
lincoln college,UK,United Kingdom,project,England,South Yorkshire,,,,
hargreaves training services limited,UK,United Kingdom,project,England,West Midlands,,,,
michael morton & david millsop,UK,United Kingdom,project,Northern Ireland,,,,,
environment agengy wales,UK,United Kingdom,project,Wales,Wales,,,,
csm consulting limited,UK,United Kingdom,project,England,South East,,,,
prospects services,UK,United Kingdom,project,England,West Midlands,,,,
vcs esf support,UK,United Kingdom,project,England,North East,,,,
ashtree management services ltd.,UK,United Kingdom,project,England,East of England,,,,
blackpool and the fylde college,UK,United Kingdom,project,England,North East,,,,
kestrel thermo-plastics ltd,UK,United Kingdom,project,Northern Ireland,,,,,
derwentside college,UK,United Kingdom,project,England,West Midlands,,,,
east tenders @ redbridgecvs,UK,United Kingdom,project,England,London,,,,
springboard islington trust,UK,United Kingdom,project,England,London,,,,
gloucestershire college,UK,United Kingdom,project,England,London,,,,
oaklands college,UK,United Kingdom,project,England,London,,,,
capital engineering group holdings ltd,UK,United Kingdom,project,England,East Midlands,,,,
renault u.k. limited,UK,United Kingdom,project,England,Yorkshire,,,,
the intraining group limited,UK,United Kingdom,project,England,London,,,,
manchester central,UK,United Kingdom,project,England,North West,,,,
tbg learning ltd,UK,United Kingdom,project,England,London,,,,
north lindsey college,UK,United Kingdom,project,England,East Midlands,,,,
tir training services ltd,UK,United Kingdom,project,England,Yorkshire,,,,
invest ni,UK,United Kingdom,project,Northern Ireland,,,,,
moy park ltd,UK,United Kingdom,project,Northern Ireland,,,,,
totalmobile solutions limited,UK,United Kingdom,project,Northern Ireland,,,,,
poultec training limited,UK,United Kingdom,project,England,South West,,,,
fold housing association t/a fold telecare,UK,United Kingdom,project,Northern Ireland,,,,,
yeovil college,UK,United Kingdom,project,England,South West,,,,
harworth estates investments ltd,UK,United Kingdom,project,England,Yorkshire,,,,
the northwest fund ltd,UK,United Kingdom,project,England,North West,,,,
f. j. bowers (uk) ltd,UK,United Kingdom,project,Northern Ireland,,,,,
t.o.d. foods limited,UK,United Kingdom,project,Northern Ireland,,,,,
homefit joinery ltd,UK,United Kingdom,project,Northern Ireland,,,,,
mysong media (ni) ltd,UK,United Kingdom,project,Northern Ireland,,,,,
superskills ltd,UK,United Kingdom,project,England,South Yorkshire,,,,
aurelia training limited,UK,United Kingdom,project,England,East of England,,,,
npower limited,UK,United Kingdom,project,England,Yorkshire,,,,
chesterfield college,UK,United Kingdom,project,England,North East,,,,
"compass group, uk and ireland limited",UK,United Kingdom,project,England,London,,,,
hydramaster limited,UK,United Kingdom,project,England,Cornwall and the Isles of Scilly,,,,
sodexo limited,UK,United Kingdom,project,England,London,,,,
