beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
applied precision s.r.o.,SK,Slovakia,project,,,,,,
"aqua pro, s.r.o.",SK,Slovakia,project,,,,,,
"archa,n.o.",SK,Slovakia,project,,,,,,
archeologicky ustav sav,SK,Slovakia,project,,,,,,
archiro,SK,Slovakia,project,,,,,,
"archiv sb, s.r.o.",SK,Slovakia,project,,,,,,
arcidiecezna charita ke,SK,Slovakia,project,,,,,,
"ardaco, a.s.",SK,Slovakia,project,,,,,,
"areko, s.r.o.",SK,Slovakia,project,,,,,,
"arena cedent, s.r.o.",SK,Slovakia,project,,,,,,
"ares, spol. s r.o.",SK,Slovakia,project,,,,,,
"argim, spol. s r.o.",SK,Slovakia,project,,,,,,
aristo,SK,Slovakia,project,,,,,,
"art & press, s.r.o.",SK,Slovakia,project,,,,,,
"artco, s.r.o.",SK,Slovakia,project,,,,,,
arte bene,SK,Slovakia,project,,,,,,
artra s.r.o.,SK,Slovakia,project,,,,,,
"artweger, spol. s r.o.",SK,Slovakia,project,,,,,,
asociacia pracovnikov,SK,Slovakia,project,,,,,,
asociacia rodin a rodinnych spolocenstiev na slove,SK,Slovakia,project,,,,,,
"asociacia ucitelov, rodicov a priatelov ",SK,Slovakia,project,,,,,,
"asseco central europe, a.s.",SK,Slovakia,project,,,,,,
assp,SK,Slovakia,project,,,,,,
"astap stavby, s.r.o.",SK,Slovakia,project,,,,,,
asu sav,SK,Slovakia,project,,,,,,
at - engineering spol. s r.o.,SK,Slovakia,project,,,,,,
"atea slovakia, s.r.o.",SK,Slovakia,project,,,,,,
"atin - ca, s.r.o.",SK,Slovakia,project,,,,,,
atos it solutions and services s.r.,SK,Slovakia,project,,,,,,
"attack, s.r.o.",SK,Slovakia,project,,,,,,
au bb,SK,Slovakia,project,,,,,,
"audaxus, spol. s r.o.",SK,Slovakia,project,,,,,,
auto palazzo,SK,Slovakia,project,,,,,,
autodoprava meduzova,SK,Slovakia,project,,,,,,
automobilovy klaster slovensko,SK,Slovakia,project,,,,,,
"automotive group sk, s.r.o.",SK,Slovakia,project,,,,,,
"autonovo, a.s.",SK,Slovakia,project,,,,,,
"autoprofit, s.r.o.",SK,Slovakia,project,,,,,,
"autoservis jakub, spol. s r.o.",SK,Slovakia,project,,,,,,
"av integra, s. r. o.",SK,Slovakia,project,,,,,,
"avalle, s.r.o.",SK,Slovakia,project,,,,,,
avans ,SK,Slovakia,project,,,,,,
"avest, s.r.o.",SK,Slovakia,project,,,,,,
"avex electronics, s.r.o.",SK,Slovakia,project,,,,,,
"avoar, s.r.o.",SK,Slovakia,project,,,,,,
awaco s. r. o.,SK,Slovakia,project,,,,,,
"axa, spol. s r.o.",SK,Slovakia,project,,,,,,
"axasoft, a. s.",SK,Slovakia,project,,,,,,
axxence slovakia s.r.o.,SK,Slovakia,project,,,,,,
"aza slovakia, s.r.o.",SK,Slovakia,project,,,,,,
azeta s. r. o.,SK,Slovakia,project,,,,,,
b & e s.r.o.,SK,Slovakia,project,,,,,,
b 6 slovakia s.r.o.,SK,Slovakia,project,,,,,,
b o t o  spol. s r.o.,SK,Slovakia,project,,,,,,
"b.m. kavoviny, spol. s r.o.",SK,Slovakia,project,,,,,,
ba.ce.co. s.r.o.,SK,Slovakia,project,,,,,,
babyos s.r.o.,SK,Slovakia,project,,,,,,
"bad, s.r.o.",SK,Slovakia,project,,,,,,
"bado, s.r.o.",SK,Slovakia,project,,,,,,
"bagpress, s.r.o.",SK,Slovakia,project,,,,,,
"bajakov, s.r.o.",SK,Slovakia,project,,,,,,
"bamu, s.r.o.",SK,Slovakia,project,,,,,,
barcom spol. s r.o.,SK,Slovakia,project,,,,,,
"barinox, s.r.o.",SK,Slovakia,project,,,,,,
bau3mex a.s.,SK,Slovakia,project,,,,,,
"baumetall, s.r.o.",SK,Slovakia,project,,,,,,
"baumit, spol. s r.o.",SK,Slovakia,project,,,,,,
"bb print, s.r.o.",SK,Slovakia,project,,,,,,
bbf elektro s.r.o.,SK,Slovakia,project,,,,,,
bc. peter kocalka - ticony,SK,Slovakia,project,,,,,,
"bd-foam, s.r.o.",SK,Slovakia,project,,,,,,
beempe s.r.o.,SK,Slovakia,project,,,,,,
"bek baustoffe slovakia, s.r.o.",SK,Slovakia,project,,,,,,
beki design s.r.o.,SK,Slovakia,project,,,,,,
belmontklima s.r.o.,SK,Slovakia,project,,,,,,
bemi sk s.r.o.,SK,Slovakia,project,,,,,,
"benetrix, n.o.",SK,Slovakia,project,,,,,,
"beny, s.r.o.",SK,Slovakia,project,,,,,,
bersa,SK,Slovakia,project,,,,,,
"beset, spol. s r. o.",SK,Slovakia,project,,,,,,
"besna, spol. s r.o.",SK,Slovakia,project,,,,,,
best slovakia s.r.o.,SK,Slovakia,project,,,,,,
beta - car s.r.o.,SK,Slovakia,project,,,,,,
betamont s.r.o.,SK,Slovakia,project,,,,,,
"bevex - bansky vyskum, spol. s r.o.",SK,Slovakia,project,,,,,,
bez transformatory,SK,Slovakia,project,,,,,,
"bfz trio, s.r.o.",SK,Slovakia,project,,,,,,
"bgv, s.r.o.",SK,Slovakia,project,,,,,,
bianka plus s.r.o.,SK,Slovakia,project,,,,,,
"bilikova, s.r.o.",SK,Slovakia,project,,,,,,
bilingvalne gymnazium milana hodzu,SK,Slovakia,project,,,,,,
billik,SK,Slovakia,project,,,,,,
"bineko, spol. s r.o.",SK,Slovakia,project,,,,,,
biodet a.s.,SK,Slovakia,project,,,,,,
"bioener slovakia, a.s.",SK,Slovakia,project,,,,,,
"bioscience sk, s.r.o.",SK,Slovakia,project,,,,,,
"biotika, a.s.",SK,Slovakia,project,,,,,,
"biso schrattenecker slovakia, s. r. o.",SK,Slovakia,project,,,,,,
"bj energy group, s.r.o.",SK,Slovakia,project,,,,,,
bk kovotrade s.r.o.,SK,Slovakia,project,,,,,,
"bk parket, s.r.o.",SK,Slovakia,project,,,,,,
blazej cinege - auto-kovo-lak,SK,Slovakia,project,,,,,,
blazej nagy,SK,Slovakia,project,,,,,,
blitz s.r.o.,SK,Slovakia,project,,,,,,
"bmb leitner cs, s.r.o.",SK,Slovakia,project,,,,,,
bmz a.s.,SK,Slovakia,project,,,,,,
"boge elastmetall slovakia, a.s.",SK,Slovakia,project,,,,,,
bonfiglioli slovakia s.r.o.,SK,Slovakia,project,,,,,,
"bonitas, n.o.",SK,Slovakia,project,,,,,,
boos,SK,Slovakia,project,,,,,,
"bopal, s.r.o.",SK,Slovakia,project,,,,,,
"boso, s.r.o.",SK,Slovakia,project,,,,,,
"bost sk, a.s.",SK,Slovakia,project,,,,,,
"both, s.r.o.",SK,Slovakia,project,,,,,,
"bottling printing, s.r.o.",SK,Slovakia,project,,,,,,
bowa s.r.o.,SK,Slovakia,project,,,,,,
bpp s.r.o.,SK,Slovakia,project,,,,,,
branislav kralovic - sklenarstvo,SK,Slovakia,project,,,,,,
"brantner nova, s.r.o.",SK,Slovakia,project,,,,,,
"bright, s.r.o.",SK,Slovakia,project,,,,,,
"brik, a.s.",SK,Slovakia,project,,,,,,
brncalka,SK,Slovakia,project,,,,,,
"bryndziaren a syraren, s.r.o.",SK,Slovakia,project,,,,,,
"bsc line, s. r. o.",SK,Slovakia,project,,,,,,
bsk,SK,Slovakia,project,,,,,,
bucina,SK,Slovakia,project,,,,,,
"buco, s.r.o.",SK,Slovakia,project,,,,,,
"buildings city, s.r.o.",SK,Slovakia,project,,,,,,
"bukocel, a.s.",SK,Slovakia,project,,,,,,
"bukoza energo, a.s.",SK,Slovakia,project,,,,,,
"bukoza export-import, a.s.",SK,Slovakia,project,,,,,,
"bukoza holding, a.s.",SK,Slovakia,project,,,,,,
bus servis s.r.o.,SK,Slovakia,project,,,,,,
"business and drive, s.r.o.",SK,Slovakia,project,,,,,,
business in slovakia s.r.o.,SK,Slovakia,project,,,,,,
"bvh, spol. s r.o.",SK,Slovakia,project,,,,,,
"bytherm, s.r.o. ",SK,Slovakia,project,,,,,,
"c m c, spol. s r.o.",SK,Slovakia,project,,,,,,
c2i s.r.o.,SK,Slovakia,project,,,,,,
"c4u, s.r.o.",SK,Slovakia,project,,,,,,
"calendula, a. s.",SK,Slovakia,project,,,,,,
"canor, spol. s r.o.",SK,Slovakia,project,,,,,,
"car-dok jk, s.r.o.",SK,Slovakia,project,,,,,,
casantruck s.r.o.,SK,Slovakia,project,,,,,,
"cass, spol. s r.o.",SK,Slovakia,project,,,,,,
"cassis consult, s r.o.",SK,Slovakia,project,,,,,,
"cassovia software, s.r.o.",SK,Slovakia,project,,,,,,
"castill, s.r.o.",SK,Slovakia,project,,,,,,
"castoria, a.s.",SK,Slovakia,project,,,,,,
cck oblastni spolek brno-mesto,SK,Slovakia,project,,,,,,
cd - profil s.r.o.,SK,Slovakia,project,,,,,,
"cdl, spol. s r.o.",SK,Slovakia,project,,,,,,
"cedro i., s.r.o.",SK,Slovakia,project,,,,,,
ceit consulting s.r.o.,SK,Slovakia,project,,,,,,
"ceit technical innovation, s.r.o.",SK,Slovakia,project,,,,,,
"cekoss, spol. s r.o.",SK,Slovakia,project,,,,,,
celim slovakia,SK,Slovakia,project,,,,,,
"cellqos, a.s.",SK,Slovakia,project,,,,,,
celpo spol. s r.o.,SK,Slovakia,project,,,,,,
centire s. r. o.,SK,Slovakia,project,,,,,,
centrum dobrovolnictva,SK,Slovakia,project,,,,,,
"centrum dopravniho vyzkumu, v.v.i.",SK,Slovakia,project,,,,,,
centrum pre medzinarodnopravnu ochr,SK,Slovakia,project,,,,,,
"centrum pre vedu a vyskum, s. r. o.",SK,Slovakia,project,,,,,,
centrum pro komunitni praci msk,SK,Slovakia,project,,,,,,
centrum psycho-socialnych sluzieb,SK,Slovakia,project,,,,,,
centrum regionalneho rozvoja n.o.,SK,Slovakia,project,,,,,,
centrum rozvoja regionov,SK,Slovakia,project,,,,,,
"centrum rozvoja, n. o.",SK,Slovakia,project,,,,,,
"centrum slniecko, n.o.",SK,Slovakia,project,,,,,,
centrum socialnej pomoci mladym luc,SK,Slovakia,project,,,,,,
centrum vyskumu zivocisnej vyroby,SK,Slovakia,project,,,,,,
centrum vzdelavania nezisk. o.,SK,Slovakia,project,,,,,,
"cernovske drevenice, s. r. o.",SK,Slovakia,project,,,,,,
cesky svaz ochrancu prirody  ,SK,Slovakia,project,,,,,,
cesta pre rodinu n.o.,SK,Slovakia,project,,,,,,
"cetp, s. r. o. ",SK,Slovakia,project,,,,,,
cevete,SK,Slovakia,project,,,,,,
"champion food, s.r.o.",SK,Slovakia,project,,,,,,
chartikano o.z.,SK,Slovakia,project,,,,,,
chemkostav hsv a.s.,SK,Slovakia,project,,,,,,
"chemkostav, a.s.",SK,Slovakia,project,,,,,,
chemolak,SK,Slovakia,project,,,,,,
chemosvit,SK,Slovakia,project,,,,,,
"chemosvit energochem,a.s.",SK,Slovakia,project,,,,,,
"chemosvit environchem, a.s.",SK,Slovakia,project,,,,,,
"chemosvit fibrochem, a.s.",SK,Slovakia,project,,,,,,
"chemstroj, s.r.o.",SK,Slovakia,project,,,,,,
"chetra sk, s.r.o.",SK,Slovakia,project,,,,,,
chirana medical,SK,Slovakia,project,,,,,,
"chirana t.injecta, a. s.",SK,Slovakia,project,,,,,,
"chrien, spol. s r.o.",SK,Slovakia,project,,,,,,
chrysso cassoviensis s.r.o.,SK,Slovakia,project,,,,,,
chu sav,SK,Slovakia,project,,,,,,
"ci regio, spol. s.r.o.",SK,Slovakia,project,,,,,,
"cicero, s.r.o.",SK,Slovakia,project,,,,,,
"cid metal, s.r.o.",SK,Slovakia,project,,,,,,
cimbalak s.r.o.,SK,Slovakia,project,,,,,,
"cipi, s.r.o.",SK,Slovakia,project,,,,,,
"cirkevna spojena skola,komenskeho 6,spisske vlac",SK,Slovakia,project,,,,,,
cirkevna zakladna skola sv. frantiska z assisi,SK,Slovakia,project,,,,,,
cirkevna zakladna skola sv. margity,SK,Slovakia,project,,,,,,
cirkevna zakladna skola sv. petra a pavla,SK,Slovakia,project,,,,,,
cirkevne gymnazium sv. mikulasa,SK,Slovakia,project,,,,,,
cirkevny zbor evanjelickej cirkvi a.v. n,SK,Slovakia,project,,,,,,
"ckv consult, s.r.o.",SK,Slovakia,project,,,,,,
"cleaners, s.r.o.",SK,Slovakia,project,,,,,,
cleverlance ,SK,Slovakia,project,,,,,,
"clovek v tisni, o.p.s.",SK,Slovakia,project,,,,,,
"cmk, s.r.o.",SK,Slovakia,project,,,,,,
"cnc ferrum, s. r. o.",SK,Slovakia,project,,,,,,
"cnc frezovanie, s.r.o.",SK,Slovakia,project,,,,,,
"cnc profihala, s. r. o.",SK,Slovakia,project,,,,,,
"cni tlac servis, spol. s r.o.",SK,Slovakia,project,,,,,,
"coba automotive, s.r.o.",SK,Slovakia,project,,,,,,
"codes creative, s.r.o.",SK,Slovakia,project,,,,,,
codum s.r.o.,SK,Slovakia,project,,,,,,
"coffea drinks, s.r.o.",SK,Slovakia,project,,,,,,
"cofin, a.s.",SK,Slovakia,project,,,,,,
commerc,SK,Slovakia,project,,,,,,
comtessa consulting s. r. o.,SK,Slovakia,project,,,,,,
confal a.s.,SK,Slovakia,project,,,,,,
"construct, s.r.o.",SK,Slovakia,project,,,,,,
"consulting & education partners, s.",SK,Slovakia,project,,,,,,
"conti engineering, s.r.o.",SK,Slovakia,project,,,,,,
"continental matador rubber,s.r.o.",SK,Slovakia,project,,,,,,
"contra sport, s.r.o.",SK,Slovakia,project,,,,,,
"control.ing, s. r. o.",SK,Slovakia,project,,,,,,
coolfood s.r.o.,SK,Slovakia,project,,,,,,
"corado - soat, spol. s r.o.",SK,Slovakia,project,,,,,,
"cord blood center, s.r.o.",SK,Slovakia,project,,,,,,
"coreta, s. r. o.",SK,Slovakia,project,,,,,,
corpe s.r.o.,SK,Slovakia,project,,,,,,
"cover 3s, s.r.o.",SK,Slovakia,project,,,,,,
cr sr,SK,Slovakia,project,,,,,,
cromwell a. s.,SK,Slovakia,project,,,,,,
"cronson, s.r.o.",SK,Slovakia,project,,,,,,
crr ceske republiky,SK,Slovakia,project,,,,,,
crr cr,SK,Slovakia,project,,,,,,
"crt - electronic, spol. s r.o. or. lesna ",SK,Slovakia,project,,,,,,
"crystal service, s. r. o.",SK,Slovakia,project,,,,,,
"cs, s.r.o.",SK,Slovakia,project,,,,,,
csm - stav s r.o.,SK,Slovakia,project,,,,,,
"cso - stav., s.r.o.",SK,Slovakia,project,,,,,,
csos sv. jozafata,SK,Slovakia,project,,,,,,
"cusus, s.r.o.",SK,Slovakia,project,,,,,,
cvpmnmd,SK,Slovakia,project,,,,,,
d&j design s.r.o.,SK,Slovakia,project,,,,,,
"d.j.k., s.r.o.",SK,Slovakia,project,,,,,,
"d.k.c., s.r.o.",SK,Slovakia,project,,,,,,
d.m.p. steel s.r.o.,SK,Slovakia,project,,,,,,
"dach, s.r.o.",SK,Slovakia,project,,,,,,
"dafe - he, s.r.o.",SK,Slovakia,project,,,,,,
"dah biomasa, s. r. o.",SK,Slovakia,project,,,,,,
daira s.r.o.,SK,Slovakia,project,,,,,,
"dajan sk, s.r.o.",SK,Slovakia,project,,,,,,
"damonax, s.r.o",SK,Slovakia,project,,,,,,
"damys, s. r. o.",SK,Slovakia,project,,,,,,
danela s.r.o.,SK,Slovakia,project,,,,,,
danfoss power solutions a.s.,SK,Slovakia,project,,,,,,
danlog s.r.o.,SK,Slovakia,project,,,,,,
danove riaditelstvo sr,SK,Slovakia,project,,,,,,
