query_id,beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
1020560,sc rosticlar srl,RO,Romania,project,,,,,,
1020559,sc rossini sleeves technologies srl,RO,Romania,project,,,,,,
1020558,sc roseal sa,RO,Romania,project,,,,,,
1020557,sc rootsoft solutions srl,RO,Romania,project,,,,,,
1020556,sc ronest fly srl,RO,Romania,project,,,,,,
1020555,sc romy georgian 2005 srl,RO,Romania,project,,,,,,
1020554,sc romturingia srl,RO,Romania,project,,,,,,
1020553,sc romtexim srl,RO,Romania,project,,,,,,
1020552,sc romtehnic construct srl,RO,Romania,project,,,,,,
1020551,sc romtec sa,RO,Romania,project,,,,,,
1020550,sc romstrade sa,RO,Romania,project,,,,,,
1020549,sc romsoft srl,RO,Romania,project,,,,,,
1020548,sc romserv invest srl,RO,Romania,project,,,,,,
1020547,sc romseh tools srl,RO,Romania,project,,,,,,
1020546,sc romprodus srl,RO,Romania,project,,,,,,
1020545,sc rompeisaj srl,RO,Romania,project,,,,,,
1020544,sc romoil 2003 srl,RO,Romania,project,,,,,,
1020543,sc romferex import export srl,RO,Romania,project,,,,,,
1020542,sc romferchim srl,RO,Romania,project,,,,,,
1020541,sc romercato srl,RO,Romania,project,,,,,,
1020540,sc romconstruct top srl,RO,Romania,project,,,,,,
1020539,sc romconstruct alliance srl,RO,Romania,project,,,,,,
1020538,sc romconstruct ag srl,RO,Romania,project,,,,,,
1020537,sc romconfort design srl,RO,Romania,project,,,,,,
1020536,sc romcim impex srl,RO,Romania,project,,,,,,
1020535,sc romcarbon sa,RO,Romania,project,,,,,,
1020534,sc romcab sa,RO,Romania,project,,,,,,
1020533,sc romcab s.a.,RO,Romania,project,,,,,,
1020532,sc rombel srl,RO,Romania,project,,,,,,
1020531,sc romauto integral srl,RO,Romania,project,,,,,,
1020530,sc romapisan srl,RO,Romania,project,,,,,,
1020529,sc romanian soft company srl,RO,Romania,project,,,,,,
1020528,sc romania hidro service srl,RO,Romania,project,,,,,,
1020527,sc romalumil srl,RO,Romania,project,,,,,,
1020526,sc romair consulting srl,RO,Romania,project,,,,,,
1020525,sc romactiv business consulting srl,RO,Romania,project,,,,,,
1020524,sc rom-kiss srl,RO,Romania,project,,,,,,
1020523,sc rom dinarom srl,RO,Romania,project,,,,,,
1020522,sc rom consil grup srl,RO,Romania,project,,,,,,
1020490,sc repcons srl,RO,Romania,project,,,,,,
1020489,sc renta impex srl,RO,Romania,project,,,,,,
1020488,sc rent.a.k.,RO,Romania,project,,,,,,
1020487,sc renault tehnologie roumanie srl,RO,Romania,project,,,,,,
1020486,sc renault mecanique roumanie srl,RO,Romania,project,,,,,,
1020485,sc renaul tehnologie roumanie srl,RO,Romania,project,,,,,,
1020484,sc remix-rom 2000 sa,RO,Romania,project,,,,,,
1020483,sc remir forest srl,RO,Romania,project,,,,,,
1020482,sc remex sa,RO,Romania,project,,,,,,
1020481,sc remba sm srl,RO,Romania,project,,,,,,
1020480,sc rematholding co srl,RO,Romania,project,,,,,,
1020479,sc remat mg sa,RO,Romania,project,,,,,,
1020478,sc remat maramures sa,RO,Romania,project,,,,,,
1020477,sc rem serv srl,RO,Romania,project,,,,,,
1020476,sc relvam forest srl,RO,Romania,project,,,,,,
1020475,sc relotex srl,RO,Romania,project,,,,,,
1020474,sc rel-mont srl,RO,Romania,project,,,,,,
1020473,sc reichon srl,RO,Romania,project,,,,,,
1020472,sc redis consult srl,RO,Romania,project,,,,,,
1020471,sc redis consult s.r.l.,RO,Romania,project,,,,,,
1020470,sc recon-ex srl,RO,Romania,project,,,,,,
1020469,sc recon sa,RO,Romania,project,,,,,,
1020468,sc recom sid sa,RO,Romania,project,,,,,,
1020467,sc recmet srl,RO,Romania,project,,,,,,
